value time
2 0.07120442390441895
4 0.1423814296722412
6 0.21387815475463867
6 0.28498101234436035
8 0.35607004165649414
10 0.42731308937072754
10 0.49869585037231445
12 0.5698337554931641
14 0.6409354209899902
16 0.7120940685272217
18 0.7835233211517334
20 0.8545825481414795
20 0.925682544708252
22 0.9972660541534424
22 1.068789005279541
26 1.140484094619751
26 1.2115788459777832
28 1.2826900482177734
30 1.3545079231262207
30 1.4261534214019775
30 1.49770188331604
32 1.5691606998443604
36 1.6405160427093506
36 1.711867332458496
38 1.7829244136810303
38 1.854241132736206
40 1.9256770610809326
42 1.9975254535675049
42 2.0687174797058105
44 2.139806032180786
46 2.2108681201934814
46 2.2819154262542725
48 2.3529622554779053
50 2.424591302871704
50 2.495985269546509
52 2.5670907497406006
54 2.638134717941284
54 2.7091753482818604
56 2.780574083328247
56 2.851980686187744
58 2.92338228225708
60 2.9948203563690186
60 3.0664782524108887
60 3.1378698348999023
62 3.209264039993286
64 3.280669689178467
64 3.3520781993865967
66 3.4235663414001465
68 3.4952309131622314
68 3.566842794418335
70 3.638395071029663
70 3.709745407104492
72 3.781229019165039
74 3.852585554122925
74 3.9236934185028076
76 3.995042324066162
76 4.066195487976074
78 4.137350797653198
78 4.208576679229736
80 4.279735326766968
80 4.350987195968628
82 4.422415494918823
84 4.4937028884887695
84 4.564996719360352
84 4.636482238769531
86 4.707913875579834
88 4.779263496398926
88 4.850741863250732
88 4.922091484069824
90 4.993632078170776
90 5.065015077590942
92 5.136332988739014
94 5.207687139511108
94 5.278865337371826
94 5.34995174407959
96 5.420932292938232
98 5.492567777633667
98 5.563612699508667
100 5.634672164916992
100 5.705747365951538
102 5.77685022354126
102 5.847965955734253
104 5.919275999069214
104 5.991071462631226
106 6.062590837478638
106 6.134194850921631
106 6.205846786499023
108 6.277412176132202
108 6.348639726638794
110 6.419693231582642
110 6.4910502433776855
110 6.562458753585815
112 6.633539438247681
114 6.704700946807861
114 6.7758355140686035
114 6.847390413284302
116 6.918522357940674
116 6.990183115005493
118 7.061784505844116
118 7.133215665817261
118 7.204646348953247
120 7.276222229003906
120 7.347703218460083
122 7.418774366378784
122 7.490126132965088
122 7.561186075210571
124 7.632266521453857
124 7.703383922576904
126 7.774441242218018
126 7.845543622970581
126 7.91665244102478
128 7.987994194030762
128 8.059197425842285
130 8.130792379379272
130 8.201975584030151
130 8.273073196411133
132 8.344127178192139
132 8.415257453918457
134 8.48664140701294
134 8.557760953903198
134 8.628791093826294
136 8.699867486953735
136 8.770974397659302
136 8.842071056365967
138 8.913438320159912
138 8.984935283660889
140 9.05611801147461
140 9.12712812423706
142 9.198144912719727
140 9.269234418869019
142 9.340420484542847
142 9.411746501922607
142 9.483087062835693
144 9.554352760314941
144 9.625715732574463
146 9.69716501235962
146 9.768600940704346
146 9.840446472167969
148 9.911687850952148
148 9.983147621154785
148 10.054218769073486
150 10.125316619873047
150 10.196273803710938
150 10.26734447479248
152 10.338431596755981
152 10.409513473510742
152 10.480995893478394
152 10.552021265029907
154 10.623521089553833
154 10.695062160491943
154 10.766432762145996
154 10.837796926498413
156 10.90918517112732
156 10.98071551322937
156 11.051960229873657
158 11.123321533203125
158 11.194823741912842
158 11.266221523284912
160 11.33787488937378
160 11.409210443496704
162 11.480578184127808
160 11.551686763763428
162 11.622834205627441
162 11.693827152252197
162 11.76486325263977
164 11.835851669311523
164 11.906967401504517
164 11.978251218795776
164 12.049292802810669
166 12.12071967124939
166 12.192372798919678
166 12.263754606246948
168 12.334888219833374
168 12.405993700027466
168 12.477210998535156
168 12.548374891281128
170 12.619457006454468
170 12.690653085708618
170 12.761894702911377
170 12.832985639572144
172 12.904115676879883
172 12.975418329238892
172 13.046737670898438
172 13.118204832077026
174 13.189515352249146
174 13.260913133621216
174 13.332163333892822
174 13.403359174728394
174 13.474846363067627
176 13.545944213867188
176 13.617050886154175
176 13.68813705444336
178 13.759204149246216
178 13.83034062385559
178 13.901655197143555
178 13.972834348678589
178 14.044144630432129
178 14.115523099899292
180 14.187081098556519
180 14.258442401885986
180 14.329905271530151
180 14.401427745819092
182 14.47308087348938
182 14.544760942459106
182 14.616578578948975
182 14.688283681869507
182 14.760355234146118
184 14.831711769104004
184 14.902763843536377
184 14.974223613739014
184 15.04548716545105
186 15.116900205612183
186 15.18800139427185
186 15.259110450744629
186 15.330137014389038
186 15.40124797821045
188 15.472422122955322
188 15.543688774108887
188 15.614888191223145
188 15.68630862236023
190 15.757459878921509
190 15.82860803604126
190 15.900182723999023
190 15.971842288970947
190 16.043341636657715
190 16.114771127700806
190 16.186116695404053
192 16.25751805305481
192 16.32879877090454
192 16.400144577026367
192 16.4719455242157
194 16.54325556755066
194 16.614609718322754
194 16.685917615890503
194 16.757338762283325
194 16.828684329986572
194 16.900261163711548
194 16.972022533416748
196 17.043508052825928
196 17.11489725112915
196 17.18624758720398
196 17.257612943649292
196 17.328966856002808
198 17.400442123413086
196 17.471811771392822
198 17.543582677841187
198 17.61490774154663
198 17.686161041259766
198 17.75760793685913
198 17.829023838043213
198 17.90035128593445
